name,description,price,availability,section,menu_type,current_menu
Eggs Benedicts,Poached eggs,10.99,true,Classics,Breakfast,true
Sausage Gravy Breakfast Lasagna,"With family over for the holidays, there was a need to make a few extra meals.",15.0,true,Dishes,Breakfast,true
Mushroom Omlette,Three eggs with mushrooms and veggies,10.78,true,Dishes,Breakfast,true
Home-made potatoes.,"Cooked with onions, peppers, and old bay seasoning.",3.99,true,A_La_Carte,Breakfast,true
Bowl of Oatmeal,Boiled and served with fruits.,4.99,true,A_La_Carte,Breakfast,true
Egss,Any style,1.99,true,A_La_Carte,Breakfast,true
Nutella Stuffed French Bread,"Fry to perfectly browned perfection, then serve with syrup and fresh fruit for a deliciously memorable breakfast. ",4.99,true,Confections,Breakfast,true
Blueberry Banana Breakfast Bars,Top with flax seeds and sunflower seeds and bake. ,3.99,true,Confections,Breakfast,true
Whole Grain Waffles,"Try these yummy, healthy waffles with homemade blueberry syrup.",3.5,true,Confections,Breakfast,true
"Strawberry ""Cool Brûlée""","his deceptively good, weeknight-easy dessert has a topping of yogurt and whipped cream with raw sugar that looks like creme brulee, but requires no cooking.",5.79,true,Confections,Breakfast,true
Chillaquiles,A Mexican breakfast,3.99,false,Classics,Breakfast,
Chillaquiles,A Mexican breakfast,2.33,false,Classics,Breakfast,
Chillaquiles,A Mexican breakfast,5.99,false,Classics,Breakfast,
Chillaquiles,A Mexican breakfast,23.0,false,Classics,Breakfast,
Simple Sweet and Spicy Chicken Wraps,"Spread cucumber sauce inside warm flour tortillas, then top with baby spinach leaves and chicken mixture, and finally, eat!",9.89,true,Classics,Lunch,true
Slow Cooker BBQ Chicken,"Works with any cut of meat, but recipe listed is for chicken. Two-pound cuts work best. Given to me from my aunt!",11.23,true,Classics,Lunch,true
Shish Tawook Grilled Chicken,These are served in every restaurant in the Middle East.,12.57,true,Classics,Lunch,true
Awesome Spicy Beef Kabobs OR Haitian Voodoo Sticks,"This fiery dinner goes great with fresh pitas, chopped onion, and sour cream to temper the black magic heat! Trust me, you'll crave them!""",19.75,true,Dishes,Lunch,true
Awesome Egg Salad with a Kick,"Egg salad kicked up with Dijon mustard, crumbled bacon and horseradish. I use light mayo and sour cream to keep it healthy",11.99,true,Dishes,Lunch,true
Cajun Shrimp,"Shrimp seasoned with paprika, thyme, oregano, garlic, and red pepper.",13.48,true,Dishes,Lunch,true
Roasted Cauliflower and Leek Soup,his is a really delicious soup I make.,5.6,true,A_La_Carte,Lunch,true
arlicky Roasted Broccoli,"Roasted vegetables are one of our favorite answers to the question of the quick weeknight side dish, and my latest pick for roasted goodness is broccoli.",3.99,true,A_La_Carte,Lunch,true
Lemon-Pepper Asparagus,A Quick & Easy Way to Fancy Up Roasted Asparagus,6.78,true,A_La_Carte,Lunch,true
Quick Whoopie Pies,Here’s a quick and easy recipe for making a delicious three-ingredient homemade filling for purchased soft cookies.,3.5,true,Confections,Lunch,true
Chewy Chocolate Caramel Bars,This super easy dessert uses caramel candies and chocolate cake mix. Make it for a work party or as a sweet snack for the kids.,4.55,true,Confections,Lunch,true
Quick Cherry Crisp,Crumbled shortbread cookies and toasted pecans top succulent red cherries in this easy-to-make dessert.,5.55,true,Confections,Lunch,true
NY Steak,classic from all over the world,34.0,true,Dishes,Dinner,true
Ham ‘n’ Cheese Biscuit Stacks,"I make these finger sandwiches for holidays and Super Bowl parties, too. ",7.67,true,Starters,Dinner,true
 Easiest One-Pot Beef with Broccoli,Slicing the beef into small pieces first means everything cooks through in about five minutes.,16.97,true,Classics,Dinner,true
 Black Bean–Stuffed Sweet Potatoes,"It's packed with protein and fiber, and you can add toppings — like avocado or sour cream — depending on what's in your fridge",12.56,true,Classics,Dinner,true
